Country,year,Top10,Top5,Top1,Top01,Top10Can,Top5Can,Top1Can,Top01Can,Top10excap,Top10incap,Top5excap,Top5incap,Top1excap,Top1incap,Top01excap,Top01incap,Top10P,Top5P,Top1P,Top01P,Top10Pexcap,Top5Pexcap,Top1Pexcap,Top01Pexcap,Top10Pincap,Top5Pincap,Top1Pincap,Top01Pincap,Unemp,Unemployment,Taxrev,TaxICP,TaxIndICP,growth,GDPPCcur,exports,GDPdeflator,imports,GDPcons,GDPPCcons,system,execrlc,pr,rightwing,majoritarian,current_quinn,capital_quinn,epl,uc,sing3b,TopIncomeTaxRate,cellphone,computer,xlpopulation,SMC_GDP,PrivCreditGDP_MB,BDepGDP,FinDepGDP,BCred_Dep,PrivCreditGDP_MBFin,kaopen,ka_open,DFS,SM,uk_mom,frsp_mom,scan_mom,ger_mom,civ_com,rule_law,entrybarriers,bankingsuperv,securitymarkets,finreform,reform,large_reform,gini,gini_d,gini_m,SM_cap_2,SM_cap_2panel,stock_price,stocks,leftwing,Top10_5,Top10_1,Top10_01,Top5_1,Top5_01,Top1_01,country,gini_net,gini_net_se,gini_net_95ub,gini_net_95lb,gini_market,gini_market_se,gini_market_95ub,gini_market_95lb,rel_red,rel_red_se,rel_red_95ub,rel_red_95lb,abs_red,abs_red_se,abs_red_95ub,abs_red_95lb,ccode
"Switzerland",2003,31.07,21.110001,9.3800001,3.5,,,,,31.07,,21.110001,,9.3800001,,3.5,,31.07,21.110001,9.3800001,3.5,31.07,21.110001,9.3800001,3.5,,,,,4.1166174,4.1166172,26.8,11.7,8.9,.04970816,47960.565,48.231239,.94637666,41.532461,3.846e+11,52403.896,"Parliamentary","-999",1,0,0,,,.37,,41.7,.4166,,,,204.3061,149.8132,125.1968,125.1968,116.8427,149.8132,2.4217641,1,,,0,0,0,1,1,10,3,3,3,20,0,0,,,,7.271e+11,7.271e+11,71.37614,72.921043,0,9.9599991,21.689999,27.57,11.73,17.610001,5.8800001,"Switzerland",27.140574,.3817834,27.888868,26.392279,39.505344,.53937584,40.562523,38.448166,31.296627,.61896092,32.509792,30.083464,12.364771,.3351652,13.021695,11.707847,16
"Switzerland",2004,31.58,21.530001,9.6400003,3.6400001,,,,,31.58,,21.530001,,9.6400003,,3.6400001,,31.58,21.530001,9.6400003,3.6400001,31.58,21.530001,9.6400003,3.6400001,,,,,4.3156313,4.3156314,26.5,11.6,8.7,2.8429484,53255.976,51.552431,.38525444,42.59016,3.955e+11,53524.503,"Parliamentary","-999",1,0,0,,,,,,.4166,,,,215.7006,150.8658,128.3815,128.3815,118.1725,150.8658,2.4217641,1,,,0,0,0,1,1,10,3,3,3,20,0,0,26.799999,,,8.291e+11,8.291e+11,84.17262,85.713817,0,10.049999,21.939999,27.940001,11.89,17.890001,6,"Switzerland",26.877045,.47277388,27.803682,25.950407,39.731377,.7017135,41.106735,38.356018,32.342197,1.2157403,34.725048,29.959347,12.854331,.63054729,14.090203,11.618459,16
"Switzerland",2005,31.879999,21.84,9.8400002,3.6600001,,,,,31.879999,,21.84,,9.8400002,,3.6600001,,31.879999,21.84,9.8400002,3.6600001,31.879999,21.84,9.8400002,3.6600001,,,,,4.4366766,4.4366765,26.5,11.9,8.7,3.0383053,54798.573,53.942673,.63973314,46.672425,4.075e+11,54798.573,"Parliamentary","-999",1,0,0,,,,,,.4166,,,,229.0358,154.2814,130.9785,130.9785,117.4315,154.2814,2.4217641,1,,,0,0,0,1,1,10,3,3,3,20,0,0,,,,9.387e+11,9.387e+11,97.05783,100,0,10.039999,22.039999,28.219999,12,18.18,6.1800003,"Switzerland",28.278275,.57040548,29.396269,27.16028,41.126163,.9218114,42.932915,39.319412,31.231642,.85208517,32.90173,29.561554,12.847889,.54450428,13.915117,11.780661,16
"Switzerland",2006,32.650002,22.52,10.3,3.8900001,,,,,32.650002,,22.52,,10.3,,3.8900001,,32.650002,22.52,10.3,3.8900001,32.650002,22.52,10.3,3.8900001,,,,,3.9949204,3.9949203,26.4,12.1,8.4,4.0127855,57346.946,56.718092,1.9511353,48.220544,4.239e+11,56640.95,"Parliamentary","-999",1,0,0,,,,,,.4166,,,,265.2951,157.16901,131.1468,131.1468,122.1526,157.16901,2.4217641,1,,,0,0,0,1,1,10,,,,,,,,,,1.213e+12,1.213e+12,122.1735,125.82031,0,10.130001,22.350002,28.760002,12.22,18.630001,6.4099998,"Switzerland",29.522112,.73364311,30.960052,28.084171,42.540531,1.249944,44.990421,40.090641,30.583885,1.1770993,32.890999,28.27677,13.018418,.77419329,14.535837,11.500999,16
"Switzerland",2007,33.25,23.190001,10.91,4.27,,,,,33.25,,23.190001,,10.91,,4.27,,33.25,23.190001,10.91,4.27,33.25,23.190001,10.91,4.27,,,,,3.6410772,3.6410773,26.1,12.1,8.3,4.1403484,63225.267,61.625344,2.2616876,50.269632,4.414e+11,58461.278,"Parliamentary","-999",1,0,0,,,,,,.4166,,,,281.3883,159.86501,127.5264,127.5264,128.52139,159.86501,2.4217641,1,,,0,0,0,1,1,10,,,,,,,30.299999,,,1.275e+12,1.275e+12,138.7315,142.16802,0,10.059999,22.34,28.98,12.280001,18.92,6.6399999,"Switzerland",30.089737,.79261953,31.64327,28.536203,43.19516,1.3650604,45.870678,40.519642,30.317549,1.2910802,32.848064,27.787031,13.105423,.85590816,14.783003,11.427843,16
"Switzerland",2008,33.630001,23.440001,10.96,4.25,,,,,33.630001,,23.440001,,10.96,,4.25,,33.630001,23.440001,10.96,4.25,33.630001,23.440001,10.96,4.25,,,,,3.3502264,3.3502264,26.7,12.6,8.3,2.2772401,72120.227,62.98072,1.9193285,52.384376,4.515e+11,59037.652,"Parliamentary","-999",1,0,0,,,,,,.4166,,,,219.1425,159.612,126.2477,126.2477,124.3667,159.612,2.4217641,1,,,0,0,0,1,1,10,,,,,,,32,,,8.803e+11,8.803e+11,106.977,109.01685,0,10.190001,22.670002,29.380001,12.48,19.190001,6.71,"Switzerland",30.48777,.79613221,32.048191,28.927351,43.542278,1.3642519,46.216213,40.868343,29.958868,1.2995396,32.505966,27.41177,13.054508,.857539,14.735285,11.373732,16
"Switzerland",2009,33.150002,22.9,10.54,4.0599999,,,,,33.150002,,22.9,,10.54,,4.0599999,,33.150002,22.9,10.54,4.0599999,33.150002,22.9,10.54,4.0599999,,,,,4.109023,4.1090231,27.1,12.7,8.7,-2.1296185,69669.335,57.440145,.41085134,49.881945,4.419e+11,57062.91,"Parliamentary","-999",1,0,0,,,,,,,,,,188.1376,164.7545,134.9785,134.9785,119.9222,164.7545,2.4217641,1,,,0,0,0,1,1,10,,,,,,,30.200001,.29800001,.37200001,1.065e+12,1.065e+12,87.20918,89.798831,0,10.250002,22.610001,29.090002,12.36,18.84,6.48,"Switzerland",30.160994,.78140575,31.692549,28.629438,42.896988,1.3068278,45.45837,40.335606,29.670549,1.2015185,32.025524,27.315573,12.735995,.78872979,14.281906,11.190084,16
"United Kingdom",1971,29.290001,18.809999,7.02,1.67,,,,,,29.290001,,18.809999,,7.02,,1.67,29.290001,18.809999,7.02,1.67,,,,,29.290001,18.809999,7.02,1.67,4.1,4.0999999,33.4,13.7,11.2,3.4817858,2643.0284,21.470379,7.7958352,20.055734,1.043e+12,18662.825,"","",,1,1,50,50,.15058824,68.8,,,,,55928,,,,,,,-.81730157,.24616584,,,1,0,0,0,0,8.566667,,,,,,,26.200001,,,,,5.979486,187.66,0,10.480001,22.27,27.620001,11.789999,17.139999,5.3499999,"United Kingdom",26.925169,.38563892,27.681021,26.169317,33.808598,.4101074,34.612408,33.004787,,,,,,,,,17
"United Kingdom",1972,28.9,18.48,6.9400001,1.61,,,,,,28.9,,18.48,,6.9400001,,1.61,28.9,18.48,6.9400001,1.61,,,,,28.9,18.48,6.9400001,1.61,4.3,4.3000002,31.8,12.4,10.3,4.2274707,3026.4105,20.214077,7.4173013,20.228485,1.087e+12,19385.949,"","",,1,1,56.25,50,.16470589,69.6,,,,,56097,,,,,,,-.81730157,.24616584,,,1,0,0,0,0,8.566667,,,,,,,26.5,,,,,7.63237,221.39,0,10.42,21.959999,27.289999,11.539999,16.869999,5.3299999,"United Kingdom",27.024281,.39704984,27.802498,26.246063,33.807514,.3897754,34.571472,33.043556,,,,,,,,,17
"United Kingdom",1973,28.309999,18.18,6.9899998,1.6799999,,,,,,28.309999,,18.18,,6.9899998,,1.6799999,28.309999,18.18,6.9899998,1.6799999,,,,,28.309999,18.18,6.9899998,1.6799999,3.7,3.7,30,12.3,10,6.5382292,3408.717,22.074088,7.9880312,24.253591,1.158e+12,20613.583,"","",,1,1,56.25,50,.17176472,70.4,,,,,56223,,,,,,,-.81730157,.24616584,0,1,1,0,0,0,0,8.566667,1,0,2,10,,,25.4,,,,,6.595771,144.97,0,10.129999,21.32,26.629999,11.190001,16.5,5.3099999,"United Kingdom",27.096027,.33765656,27.757833,26.434221,35.180279,.35439107,35.874886,34.485672,,,,,,,,,17
